produto,quantidade,preco_unitario,data_venda
Camiseta Azul,3,49.90,01/03/2024
Tenis Sport,1,199.90,01/03/2024
Bone Classico,5,29.90,01/03/2024
Calca Jeans,2,89.90,02/03/2024
Camiseta Azul,4,49.90,02/03/2024
Mochila Urban,1,149.90,02/03/2024
Tenis Sport,2,199.90,03/03/2024
Bone Classico,3,29.90,03/03/2024
Jaqueta Couro,1,349.90,03/03/2024
Camiseta Azul,6,49.90,04/03/2024
Calca Jeans,3,89.90,04/03/2024
Tenis Sport,1,199.90,04/03/2024
Mochila Urban,2,149.90,05/03/2024
Bone Classico,8,29.90,05/03/2024
Camiseta Azul,2,49.90,05/03/2024
Jaqueta Couro,1,349.90,06/03/2024
Tenis Sport,3,199.90,06/03/2024
Calca Jeans,1,89.90,06/03/2024
Camiseta Azul,5,49.90,07/03/2024
Bone Classico,4,29.90,07/03/2024
Mochila Urban,1,149.90,07/03/2024
Calca Jeans,2,89.90,07/03/2024
